Dross  n. 1 rubbish. 2 a scum from melted metals. B impurities. [old english]
Tabby  n. (pl. -ies) 1  grey or brownish cat with dark stripes. 2 a kind of watered silk. [french from arabic]
Tuner  n. 1 person who tunes musical instruments, esp. Pianos. 2  a part of a radio or television receiver for tuning. B radio receiver as a separate unit in a high-fi system. 3 electronic device for tuning a guitar etc.
Idyll  n. 1 short description, esp. In verse, of a peaceful or romantic, esp. Rural, scene or incident. 2 such a scene or incident. [greek eidullion]
Filth  n. 1 repugnant or extreme dirt. 2 obscenity. [old english: related to *foul]
Niece  n. Daughter of one's brother or sister or of one's spouse's brother or sister. [latin neptis granddaughter]
Rouse  v. (-sing) 1 (cause to) wake. 2 (often foll. By up, often refl.) Stir up, make or become active or excited (was roused to protest). 3 anger (terrible when roused). 4 evoke (feelings). [origin unknown]
Depot  n. 1 a storehouse, esp. For military supplies. B headquarters of a regiment. 2 a place where vehicles, e.g. Buses, are kept. B us railway or bus station. [french: related to *deposit]
Gnash  v. 1 grind (the teeth). 2 (of the teeth) strike together. [old norse]
Pitta  n. (also pita) flat hollow unleavened bread which can be split and filled. [modern greek, = a kind of cake]
Nylon  n. 1 tough light elastic synthetic fibre. 2 nylon fabric. 3 (in pl.) Stockings of nylon. [invented word]
Manor  n. 1 (also manor-house) large country house with lands. 2 hist. Feudal lordship over lands. 3 slang district covered by a police station.  manorial adj. [latin maneo remain]
Torch  n. 1 portable battery-powered electric lamp. 2 thing lit for illumination. 3 source of heat, illumination, or enlightenment.  carry a torch for suffer from unrequited love for. [latin: related to *tort]
Pubis  n. (pl. Pubes) either of a pair of bones forming the two sides of the pelvis. [latin os pubis bone of the *pubes1]
Nanny  n. (pl. -ies) 1 child's nurse. 2 colloq. Grandmother. 3 (in full nanny-goat) female goat. [related to *nancy]
Ernie  n. Device for drawing prize-winning numbers of premium bonds. [electronic random number indicator equipment]
Agent  n. 1 a person who acts for another in business etc. B spy. 2 person or thing that exerts power or produces an effect.
Annex  v. 1 (often foll. By to) add as a subordinate part. 2 incorporate (territory) into one's own. 3 add as a condition or consequence. 4 colloq. Take without right.  annexation n. [latin necto bind]
Scram  v. (-mm-) (esp. In imper.) Colloq. Go away. [perhaps from *scramble]
Odour  n. (us odor) 1 smell or fragrance. 2 quality or trace (an odour of intolerance). 3 regard, repute (in bad odour).  odorous adj. Odourless adj. [latin odor]
Deity  n. (pl. -ies) 1 god or goddess. 2 divine status or nature. 3 (the deity) god. [french from church latin]
Duchy  n. (pl. -ies) territory of a duke or duchess; royal dukedom of cornwall or lancaster. [medieval latin ducatus: related to *duke]
Knoll  n. Hillock, mound. [old english]
Elegy  n. (pl. -ies) 1 sorrowful poem or song, esp. For the dead. 2 poem in elegiac metre. [latin from greek]
Triad  n. 1 group of three (esp. Notes in a chord). 2 the number three. 3 (also triad) chinese secret society, usu. Criminal.  triadic adj. [latin from greek]
Bight  n. 1 bay, inlet, etc. 2 loop of rope. [old english]
Glair  n. 1 white of egg. 2 adhesive preparation made from this. [french]
Twirp  var. Of *twerp.
Burin  n. 1 tool for engraving copper or wood. 2 archaeol. Chisel-pointed flint tool. [french]
Knead  v. 1 a work into a dough, paste, etc. By pummelling. B make (bread, pottery, etc.) Thus. 2 massage (muscles etc.) As if kneading. [old english]
Gemma  n. (pl. Gemmae) small cellular body in plants such as mosses, that separates from the mother-plant and starts a new one.  gemmation n. [latin, see *gem]
Allow  v. 1 (often foll. By to + infin.) Permit. 2 assign a limited amount etc. (was allowed £500). 3 (usu. Foll. By for) provide or set aside for a purpose; add or deduct in consideration (allow £50 for expenses; allow for wastage). [originally = commend, from french: related to *ad-, latin laudo praise, loco place]
Cello  n. (pl. -s) bass instrument of the violin family, held between the legs of the seated player.  cellist n. [abbreviation of *violoncello]
React  v. 1 (often foll. By to) respond to a stimulus; change or behave differently due to some influence (reacted badly to the news). 2 (often foll. By against) respond with repulsion to; tend in a reverse or contrary direction. 3 (foll. By with) (of a substance or particle) be the cause of chemical activity or interaction with another (nitrous oxide reacts with the metal). 4 (foll. By with)  cause (a substance) to react with another.
Vouch  v. (foll. By for) answer for, be surety for (will vouch for the truth of this; can vouch for him). [french vo(u)cher summon, invoke]
Repay  v. (past and past part. Repaid) 1 pay back (money). 2 make repayment to (a person). 3 requite, reward (a service, action, etc.) (repaid their kindness; book repays study).  repayable adj. Repayment n.
Fatwa  n. Legal decision or ruling by an islamic religious leader. [arabic]
Pants  n.pl. 1 underpants or knickers. 2 us trousers.  bore (or scare etc.) The pants off colloq. Bore, scare, etc., greatly. With one's pants down colloq. In an embarrassingly unprepared state. [abbreviation of *pantaloons]
Coomb  n. (also combe) 1 valley on the side of a hill. 2 short valley running up from the coast. [old english]
Cufic  var. Of *kufic.
Ouija  n. (in full ouija board) propr. Board marked with letters or signs and used with a movable pointer to try to obtain messages at a seance. [french oui, german ja, yes]
Karma  n. Buddhism & hinduism person's actions in previous lives, believed to decide his or her fate in future existences. [sanskrit, = action, fate]
Totem  n. 1 natural object, esp. An animal, adopted esp. By n. American indians as an emblem of a clan or individual. 2 image of this.  totemic adj. [algonquian]
Relax  v. 1 make or become less stiff, rigid, or tense. 2 make or become less formal or strict (rules were relaxed). 3 reduce or abate (one's attention, efforts, etc.). 4 cease work or effort. 5 (as relaxed adj.) At ease; unperturbed. [latin relaxo: related to *lax]
Steak  n. 1 thick slice of meat (esp. Beef) or fish, usu. Grilled or fried. 2 beef cut for stewing or braising. [old norse]
Steed  n. Archaic or poet. Horse. [old english]
Prawn  n. Edible shellfish like a large shrimp. [origin unknown]
Sixer  n. 1 cricket hit for six runs. 2 brownie or cub in charge of a group of six.
Jerry  n. (pl. -ies) slang 1 german (esp. Soldier). 2 germans collectively. [probably an alteration of german]
Gnome  n. 1 a dwarfish legendary spirit or goblin living underground. B figure of this as a garden ornament. 2 (esp. In pl.) Colloq. Person with sinister influence, esp. Financial (gnomes of zurich).  gnomish adj. [french]
Irony  n. (pl. -ies) 1 expression of meaning, often humorous or sarcastic, using language of a different or opposite tendency. 2 apparent perversity of an event or circumstance in reversing human intentions. 3 theatr. Use of language with one meaning for a privileged audience and another for those addressed or concerned. [greek eironeia pretended ignorance]
Hippo  n. (pl. -s) colloq. Hippopotamus. [abbreviation]
Xylem  n. Bot. Woody tissue. [greek]
Sisal  n. 1 fibre made from a mexican agave. 2 this plant. [sisal, the port of yucatan]
Butyl  n. The univalent alkyl radical c4h9. [latin butyrum *butter]
Yukky  var. Of *yucky.
Quirk  n. 1 peculiar feature, peculiarity. 2 trick of fate.  quirky adj. (-ier, -iest). [origin unknown]
Sword  n. 1 weapon with a long blade and hilt with a handguard. 2 (prec. By the) a war. B military power.  put to the sword kill. [old english]
Welsh  v. (also welch) 1 (of a loser of a bet, esp. A bookmaker) decamp without paying. 2 evade an obligation. 3 (foll. By on) a fail to carry out a promise to (a person). B fail to honour (an obligation). [origin unknown]
Sedum  n. Fleshy-leaved plant with yellow, pink, or white flowers, e.g. The stonecrop. [latin, = houseleek]
